mz	Intensity	SN	Resolution
105.14	844458		1353052
105.14451	786769		1324590
105.14908	817993		1122246
105.15608	879025		1251341
105.16628	887105		907423
105.19761	787984		1227266
105.20227	1027064		1274211
105.20399	796756		978569
105.21773	773999		1417670
105.22368	858267		839407
105.23174	867895		1437525
105.25335	781842		966880
105.25833	815990		1217740
105.30233	833229		1187258
105.30278	830309		1142371
105.30456	794597		1483174
105.3063	829597		1308583
105.32665	830500		1030879
105.35006	818724		1319720
105.35868	806059		1233450
105.3867	881523		1208070
105.39053	939242		901679
105.40983	831578		951732
105.41979	782170		1507786
105.42824	888081		1125172
105.50035	813891		857841
105.50389	832655		1404587
105.50559	781219		1107402
105.56074	891466		999977
105.58256	796513		828679
105.60286	911004		1168709
105.62822	773924		1163896
105.63017	786852		1583653
105.66718	865426		1368764
105.67907	797814		1122103
105.70095	793694		1072169
105.70966	774505		1355856
105.72004	812621		983756
105.7354	878105		1581079
105.76468	789776		1296356
105.76944	891612		871571
105.77349	843111		1227893
105.79794	914015		1264111
105.80534	826350		1099378
105.80545	788542		1112614
105.82725	776158		1085941
105.83425	797806		1298473
105.83948	778494		1224949
105.84401	845873		714048
105.85797	821957		1041989
105.88146	849716		1225817
105.88576	833364		847750
105.90553	778060		1232409
105.91962	804123		1168468
105.92343	787091		1098795
105.96138	797402		1301216
105.97698	822882		1327878
105.9783	841625		783667
105.98813	871697		868634
105.99674	831921		1097075
106.0021	812957		796513
106.01075	946461		916708
106.01676	781576		1430601
106.02899	855584		1422018
106.0291	785968		1135637
106.03043	801160		1075968
106.04269	991776		986578
106.04298	778976		1396734
106.05286	853607		1114637
106.07329	889447		924469
106.08493	776942		897191
106.09479	825034		897187
106.11406	794198		1315517
106.13368	812373		1324481
106.1353	781453		1299852
106.13581	839189		928985
106.15224	911404		1136588
106.15515	827180		1089875
106.16314	818228		900036
106.17864	851008		793071
106.20125	877231		820117
106.21205	813603		1159901
106.22274	805402		1226581
106.2282	805498		1565614
106.22983	784810		1275158
106.24545	867670		983670
106.26478	918701		910744
106.33251	853767		951509
106.33296	897519		830460
106.34346	794267		880132
106.35574	842723		906439
106.37007	900434		921223
106.38597	810090		926987
106.40041	787981		1397963
106.40273	898005		888326
106.42743	833116		1082383
106.48532	799923		1154105
106.49511	872858		598993
106.53458	782889		1430803
106.54096	847961		1228935
106.55264	878481		1101451
106.55833	844953		890380
106.57857	819488		1497867
106.57928	787616		1362746
106.5817	801024		1157170
106.60021	793967		1069205
106.61707	852735		1271256
106.62033	801031		1138801
106.62229	790895		1201562
106.62364	797267		867335
106.6271	793087		1079477
106.62874	806699		879530
106.6437	785518		1237615
106.64636	806938		766067
106.6708	873029		1200243
