mz	Intensity	SN	Resolution
287.13536	3305065		290016
287.16424	3303023		444432
287.2006	5401206		373237
287.23702	6493822		337461
287.27335	4421253		461446
287.28355	24919686		323779
287.28586	149347968		381490
287.29291	2887305		426006
287.94715	3918603		428189
288.28682	5145422		309190
288.28927	7305039		326419
288.88591	2244548		504460
289.10716	2010607		419411
289.14342	2395126		465003
289.17992	4910078		344253
289.21626	5466117		357445
289.25263	5417996		343543
289.28897	3406867		419794
289.92631	1733390		288805
290.26902	4607184		438558
290.88378	3227974		455322
291.04938	2679141		453839
291.12285	2198387		412846
291.15919	2569594		443998
291.19555	220389760		302263
291.23195	3936648		376757
291.26842	8288655		318793
292.19808	4792893		575730
292.1989	43885116		323381
292.26379	2209865		345423
292.27187	2115659		406949
293.102	9495269		393613
293.17474	4264690		372918
293.17529	3103090		393898
293.20223	4238071		386843
293.21127	17040120		283068
293.24783	2368768		314924
293.28306	2170118		435956
293.28406	17163014		301789
293.97151	2909060		401780
294.10529	1867676		438448
294.21467	3385776		356134
294.24282	1911221		495473
294.28737	3675069		357058
295.10339	1882448		301407
295.19076	3246176		294301
295.19449	2140768		468321
295.2272	8796262		235481
295.24204	2938985		365005
295.26284	1790061		449917
295.26355	2274925		370436
295.2999	1736307		436999
296.0705	8660220		331918
296.2303	1992472		335270
296.25859	2375965		374050
297.18492	2668991		400249
297.20054	1942978		533839
297.22143	3466182		252042
297.24284	6176202		385848
297.25772	11888076		350707
297.27893	12476880		240147
298.26132	2130041		264947
298.27409	3872379		337041
298.28214	2765437		407733
298.2827	2673789		430431
298.9883	10254069		398013
299.09884	3915528		297785
299.16432	2246931		430608
299.1858	2477847		454776
299.20053	3765017		351852
299.25812	5256995		348674
299.27344	68413224		317625
299.29473	1021470528		343134
300.27676	15583182		322768
300.29807	209283024		337642
301.01447	2080328		431728
301.14104	3202141		400926
301.14355	2301022		322990
301.21625	4325482		308307
301.25264	2518128		379510
301.27373	8347763		347913
301.28907	5844086		319088
301.29904	3934327		322661
301.30142	16076920		296186
302.26898	2175254		406560
302.27717	2502935		432970
302.29226	1990426		429638
303.15908	2635174		354529
303.1956	2511788		379482
303.22983	2153393		396107
303.23199	7563697		314229
303.26827	1772983		358027
303.30471	6058429		362513
304.20947	1848397		369872
305.15995	2032099		237586
305.17471	2518757		442021
305.17549	1723621		404858
305.21121	2556139		337661
305.24765	8360689		307115
305.3203	2145020		366065
306.17	2149760		445240
306.27923	1740689		472262
306.89642	8604656		413674
306.89725	1857520		419658
306.94684	2696184		397119
307.11761	2347538		435962
307.1905	6226973		288565
307.22686	4579363		296785
307.26337	5812264		290234
307.29964	4943918		287835
308.29487	8465604		369911
308.89438	15908127		357126
309.15128	1933637		377843
309.16969	1953096		389499
309.20362	1761613		450757
309.20626	5868877		289628
309.24247	7263571		343381
309.27897	3214680		248281
310.23773	3157478		391212
310.31044	1943025		454384
310.89236	8619590		366676
311.16428	1802862		441386
311.1668	3341935		412500
311.18549	1829489		398600
311.23703	1814649		427163
311.25824	4052604		285253
311.27341	3979902		332570
311.29458	27135618		266026
312.29795	5854995		306908
312.32623	1867031		432311
313.11468	2311048		363213
313.25263	2967963		311961
313.25578	19165084		344855
313.27379	46231456		329243
313.28911	2493857		391392
313.31052	86273952		342580
314.25922	3951658		342740
314.27712	8302637		332865
314.31394	15077426		319623
315.15911	2066089		436723
315.19557	2933934		308208
315.23193	6377651		272456
315.26838	4619448		288569
315.30461	2512061		342632
316.0228	3092769		372423
316.1211	2513199		385855
316.23526	2195263		409753
316.90064	2209179		333366
317.17507	1815488		377919
317.21113	2742213		329996
317.2476	4299210		335317
317.28403	38638032		270338
317.30507	11567570		347747
317.95778	2949675		447258
317.98798	2839087		365785
318.28743	9962072		293230
318.30035	2538074		379838
318.30847	2461275		397547
318.9469	5724850		309019
